Tamim	34	100		3500		60		35	80		0		0		0
Soumya	26	60		2000		90		33	90		0		0		0
Liton	25	50		1500		65		30	80		0		0		0
Shakib	33	110		3960		80		36	85		100		5		150
Mushi	32	100		3600		65		36	60		0		0		0
Riad	34	100		3400		66		34	80		0		0		0
Afif	22	30		990		40		33	90		0		0		0
Nasum	20	10		250		40		25	60		10		6		12
Taskin	24	50		400		36		08	50		50		5		60
Rubel	27	70		770		30		11	70		70		6		90
Rahi	25	30		100		10		3	40		30		5		40			
Virat	34	100		3500		60		35	80		0		0		0
Rohit	26	60		2000		90		33	90		0		0		0
Dhawan	25	50		1500		65		30	80		0		0		0
Dhoni	33	110		3960		80		36	85		100		5		150
Hardik	32	100		3600		65		36	60		0		0		0
Jadeja	34	100		3400		66		34	80		0		0		0
Rahul	22	30		990		40		33	90		0		0		0
Pant	20	10		250		40		25	60		10		6		12
Bumrah	24	50		400		36		08	50		50		5		60
Binny	27	70		770		30		11	70		70		6		90
Siraj	25	30		100		10		3	40		30		5		40
Tamim	34	100		3500		60		35	80		0		0		0
